127.0.0.1 - - [29/Dec/2015:09:17:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/maps/jquery-jvectormap-2.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/maps/gdp-data.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/maps/jquery-jvectormap-us-aea-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/skycons/skycons.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/maps/jquery-jvectormap-world-mill-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:31 +0530] "GET /Patient_Management_System/resource/css/icheck/flat/green.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:34 +0530] "GET /Patient_Management_System/prescription.jsp HTTP/1.1" 200 24597
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:35 +0530] "GET /Patient_Management_System/images/img.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:35 +0530] "GET /Patient_Management_System/resource/js/validator/validator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:38 +0530] "GET /Patient_Management_System/reports.jsp HTTP/1.1" 200 23304
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:38 +0530] "GET /Patient_Management_System/images/img.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:55 +0530] "GET /Patient_Management_System/login?email=admin%40gmail.com&pwd=123 HTTP/1.1" 200 74496
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:55 +0530] "GET /Patient_Management_System/images/img.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:23 +0530] "GET /Patient_Management_System/index.jsp HTTP/1.1" 200 74496
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:23 +0530] "GET /Patient_Management_System/images/img.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:24 +0530] "GET /Patient_Management_System/userdata HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:24 +0530] "GET /Patient_Management_System/user_details.jsp HTTP/1.1" 200 33191
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:24 +0530] "GET /Patient_Management_System/images/img.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:24 +0530] "GET /Patient_Management_System/resource/images/avatar.png HTTP/1.1" 200 8227
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:58 +0530] "GET /Patient_Management_System/user_details.jsp HTTP/1.1" 200 33191
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:18:58 +0530] "GET /Patient_Management_System/images/img.jpg HTTP/1.1" 404 1074
